"","study.accession","experiment.accession","ArrayExpress.CellType","ArrayExpress.Species","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE"
"274","ERP012527","ERX1346770","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"275","ERP012527","ERX1346849","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"276","ERP012527","ERX1346716","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"277","ERP012527","ERX1346683","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"278","ERP012527","ERX1346963","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"279","ERP012527","ERX1346622","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"280","ERP012527","ERX1346700","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"281","ERP012527","ERX1346688","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"282","ERP012527","ERX1346843","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"283","ERP012527","ERX1346760","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"284","ERP012527","ERX1346889","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"285","ERP012527","ERX1346935","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"286","ERP012527","ERX1346864","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"287","ERP012527","ERX1346862","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"288","ERP012527","ERX1346907","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"289","ERP012527","ERX1346833","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"290","ERP012527","ERX1346784","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"291","ERP012527","ERX1346841","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"292","ERP012527","ERX1346649","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"293","ERP012527","ERX1346679","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"294","ERP012527","ERX1346651","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"295","ERP012527","ERX1346879","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"296","ERP012527","ERX1346915","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"297","ERP012527","ERX1346757","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"298","ERP012527","ERX1346801","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"299","ERP012527","ERX1346660","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"300","ERP012527","ERX1346932","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"301","ERP012527","ERX1346821","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"302","ERP012527","ERX1346899","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"303","ERP012527","ERX1346670","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"304","ERP012527","ERX1346620","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"305","ERP012527","ERX1346759","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"306","ERP012527","ERX1346911","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
