"","study.accession","experiment.accession","sample_name","sample.comment"
"289","DRP001358","DRX013910","DRS013656","LC2ad_replicate_020"
"290","DRP001358","DRX013904","DRS013650","LC2ad_replicate_014"
"291","DRP001358","DRX013703","DRS013449","LC2ad_034"
"292","DRP001358","DRX013827","DRS013573","PC9_029"
"293","DRP001358","DRX013905","DRS013651","LC2ad_replicate_015"
"294","DRP001358","DRX013819","DRS013565","PC9_021"
"295","DRP001358","DRX013631","DRS013377","LC2ad-R_032"
"296","DRP001358","DRX013616","DRS013362","LC2ad-R_017"
"297","DRP001358","DRX013615","DRS013361","LC2ad-R_016"
"298","DRP001358","DRX013851","DRS013597","LMD_007"
"299","DRP001358","DRX013927","DRS013673","LC2ad_replicate_037"
"300","DRP001358","DRX013624","DRS013370","LC2ad-R_025"
"301","DRP001358","DRX013745","DRS013491","LC2ad-R_van_033"
"302","DRP001358","DRX013619","DRS013365","LC2ad-R_020"
"303","DRP001358","DRX013782","DRS013528","LC2ad_van_012"
"304","DRP001358","DRX013746","DRS013492","LC2ad-R_van_034"
"305","DRP001358","DRX013833","DRS013579","PC9_035"
"306","DRP001358","DRX013828","DRS013574","PC9_030"
"307","DRP001358","DRX013831","DRS013577","PC9_033"
"308","DRP001358","DRX013740","DRS013486","LC2ad-R_van_028"
"309","DRP001358","DRX013784","DRS013530","LC2ad_van_014"
"310","DRP001358","DRX013859","DRS013605","LMD_015"
"311","DRP001358","DRX013742","DRS013488","LC2ad-R_van_030"
"312","DRP001358","DRX013753","DRS013499","LC2ad-R_van_041"
"313","DRP001358","DRX013908","DRS013654","LC2ad_replicate_018"
"314","DRP001358","DRX013811","DRS013557","PC9_013"
"315","DRP001358","DRX013824","DRS013570","PC9_026"
"316","DRP001358","DRX013764","DRS013510","LC2ad-R_van_052"
"317","DRP001358","DRX013889","DRS013635","LMD_045"
"318","DRP001358","DRX013813","DRS013559","PC9_015"
"319","DRP001358","DRX013702","DRS013448","LC2ad_033"
"320","DRP001358","DRX013658","DRS013404","LC2ad-R_059"
"321","DRP001358","DRX013794","DRS013540","LC2ad_van_024"
"322","DRP001358","DRX013845","DRS013591","LMD_001"
"323","DRP001358","DRX013712","DRS013458","LC2ad_043"
"324","DRP001358","DRX013644","DRS013390","LC2ad-R_045"
"325","DRP001358","DRX013699","DRS013445","LC2ad_030"
"326","DRP001358","DRX013678","DRS013424","LC2ad_009"
"327","DRP001358","DRX013882","DRS013628","LMD_038"
"328","DRP001358","DRX013786","DRS013532","LC2ad_van_016"
"329","DRP001358","DRX013765","DRS013511","LC2ad-R_van_053"
"330","DRP001358","DRX013685","DRS013431","LC2ad_016"
"331","DRP001358","DRX013681","DRS013427","LC2ad_012"
"332","DRP001358","DRX013930","DRS013676","LC2ad_replicate_040"
"333","DRP001358","DRX013826","DRS013572","PC9_028"
"334","DRP001358","DRX013870","DRS013616","LMD_026"
"335","DRP001358","DRX013761","DRS013507","LC2ad-R_van_049"
"336","DRP001358","DRX013693","DRS013439","LC2ad_024"
"337","DRP001358","DRX013921","DRS013667","LC2ad_replicate_031"
