"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"188","SRP108709","SRX2887278","2_9A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9A_L001_R1_001.fastq.gz","387c009c7fecb060ec96b25fa484beda","Human"
"189","SRP108709","SRX2887524","4_6F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6F_L001_R1_001.fastq.gz","78aedc2934834d1f5cf6adef4b2a5bb1","Human"
"190","SRP108709","SRX2887476","2_1A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1A_L001_R1_001.fastq.gz","08fb675bb7f6b1aecd32499c5b070e66","Human"
"191","SRP108709","SRX2887442","2_2G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_2G_L002_R1_001.fastq.gz","7aa081fc1d2e6948cbf72b1ec735f3e2","Human"
"192","SRP108709","SRX2887337","4_2C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2C_L001_R1_001.fastq.gz","c88e8ef0651955404b7f2b3c168c7542","Human"
"193","SRP108709","SRX2887282","1_2D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_2D_L008_R1_001.fastq.gz","74235a81825b2bcf1ebe14ad4c32a383","Human"
"194","SRP108709","SRX2887535","4_12B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12B_L001_R1_001.fastq.gz","c59b57a99b7ab64a1a5fc662a8791d51","Human"
"195","SRP108709","SRX2887460","4_11C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11C_L001_R1_001.fastq.gz","67c060302cef85f3a3c3109bfd66834e","Human"
"196","SRP108709","SRX2887454","4_5E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5E_L002_R1_001.fastq.gz","6011a4cb58c94169f117f4ae59eda2f4","Human"
"197","SRP108709","SRX2887304","4_1H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1H_L001_R1_001.fastq.gz","b0d7e7b2a23474eaf9f9c2df06b7015f","Human"
"198","SRP108709","SRX2887543","4_12F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12F_L001_R1_001.fastq.gz","bb9f396f2e5cf3d421003ba5e976861c","Human"
"199","SRP108709","SRX2887519","2_10B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10B_L002_R1_001.fastq.gz","9586b2fb215e1193453e85906452699d","Human"
"200","SRP108709","SRX2887480","4_9C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9C_L001_R1_001.fastq.gz","83253cbc2dac9277871f38bb2dce8a07","Human"
"201","SRP108709","SRX2887489","4_4G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4G_L002_R1_001.fastq.gz","3e67ce4f8481d21d635b7b0d1f3cb6d8","Human"
"202","SRP108709","SRX2887394","3_7A_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM3_7A_L008_R1_001.fastq.gz","6346b397337470b878f3301f933ee8fa","Human"
"203","SRP108709","SRX2887248","1_4C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_4C_L008_R1_001.fastq.gz","6e80c80b3e646fe97a7e88cd2deddc63","Human"
"204","SRP108709","SRX2887340","4_2B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2B_L002_R1_001.fastq.gz","c92599d99741e0e85b71536ba670b87d","Human"
"205","SRP108709","SRX2887526","4_6E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6E_L001_R1_001.fastq.gz","d5ea595a16d7a47b1ac2c7de521a9782","Human"
"206","SRP108709","SRX2887320","2_5H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_5H_L001_R1_001.fastq.gz","1e681056cc3874f2c4a58b4cb7e3a3cc","Human"
"207","SRP108709","SRX2887443","2_3B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3B_L001_R1_001.fastq.gz","3471d8a65ee97f3e75aa6669e62eb645","Human"
"208","SRP108709","SRX2887474","2_1A_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1A_L008_R1_001.fastq.gz","86ed85ba7d72613d915c6956d7a4f863","Human"
"209","SRP108709","SRX2887540","4_12E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12E_L002_R1_001.fastq.gz","466392a3f894a5e041a668a89908c21a","Human"
"210","SRP108709","SRX2887317","2_7C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_7C_L001_R1_001.fastq.gz","eaeb28963dd87581edfc91bc8c36f0ab","Human"
"211","SRP108709","SRX2887503","4_11F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11F_L001_R1_001.fastq.gz","339c69dafdb79320f6befc1a2f7aa5af","Human"
"212","SRP108709","SRX2887270","2_8F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8F_L001_R1_001.fastq.gz","8a0ebf737cb3baea8bab4062324f9bd5","Human"
"213","SRP108709","SRX2887255","1_1C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_1C_L008_R1_001.fastq.gz","38faa43244c608ae15a54bce4d4e1bc0","Human"
"214","SRP108709","SRX2887457","4_5G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5G_L001_R1_001.fastq.gz","31f650bcc31d0d1a729bac126fddc5f2","Human"
