"","study.accession","experiment.accession","source_name","cell.type","cell.subtype"
"128","SRP094414","SRX2388159","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"129","SRP094414","SRX2388155","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"130","SRP094414","SRX2388133","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"131","SRP094414","SRX2388158","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"132","SRP094414","SRX2388123","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"133","SRP094414","SRX2388108","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"134","SRP094414","SRX2388155","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"135","SRP094414","SRX2388141","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"136","SRP094414","SRX2388136","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"137","SRP094414","SRX2388144","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"138","SRP094414","SRX2388167","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"139","SRP094414","SRX2388127","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"140","SRP094414","SRX2388143","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"141","SRP094414","SRX2388169","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"142","SRP094414","SRX2388134","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"143","SRP094414","SRX2388148","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"144","SRP094414","SRX2388128","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"145","SRP094414","SRX2388130","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"146","SRP094414","SRX2388113","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"147","SRP094414","SRX2388129","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"148","SRP094414","SRX2388168","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"149","SRP094414","SRX2388121","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"150","SRP094414","SRX2388142","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"151","SRP094414","SRX2388139","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"152","SRP094414","SRX2388110","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"153","SRP094414","SRX2388137","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"154","SRP094414","SRX2388161","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"155","SRP094414","SRX2388116","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"156","SRP094414","SRX2388161","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"157","SRP094414","SRX2388167","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
