"","study.accession","experiment.accession","source_name","cell.line","cell.type","drug","concentration"
"26","SRP107198","SRX2831638","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"27","SRP107198","SRX2831672","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"28","SRP107198","SRX2831630","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"29","SRP107198","SRX2831553","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405844","1000 nM"
"30","SRP107198","SRX2831601","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"31","SRP107198","SRX2831635","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"32","SRP107198","SRX2831624","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"33","SRP107198","SRX2831659","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"34","SRP107198","SRX2831583","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405841","100 nM"
"35","SRP107198","SRX2831653","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405845","1000 nM"
"36","SRP107198","SRX2831501","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"37","SRP107198","SRX2831641","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"38","SRP107198","SRX2831608","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"39","SRP107198","SRX2831580","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405838","10 nM"
"40","SRP107198","SRX2831535","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"41","SRP107198","SRX2831561","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"42","SRP107198","SRX2831575","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"43","SRP107198","SRX2831588","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405846","1000 nM"
"44","SRP107198","SRX2831490","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"45","SRP107198","SRX2831502","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"46","SRP107198","SRX2831493","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"47","SRP107198","SRX2831563","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"48","SRP107198","SRX2831492","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"49","SRP107198","SRX2831578","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"50","SRP107198","SRX2831579","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"51","SRP107198","SRX2831511","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"52","SRP107198","SRX2831623","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"53","SRP107198","SRX2831606","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"54","SRP107198","SRX2831504","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"55","SRP107198","SRX2831618","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405843","100 nM"
"56","SRP107198","SRX2831621","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405846","1000 nM"
"57","SRP107198","SRX2831565","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"58","SRP107198","SRX2831639","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"59","SRP107198","SRX2831652","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405844","1000 nM"
"60","SRP107198","SRX2831599","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"61","SRP107198","SRX2831647","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405839","10 nM"
"62","SRP107198","SRX2831505","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"63","SRP107198","SRX2831604","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"64","SRP107198","SRX2831593","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"65","SRP107198","SRX2831627","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"66","SRP107198","SRX2831572","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"67","SRP107198","SRX2831671","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"68","SRP107198","SRX2831530","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"69","SRP107198","SRX2831613","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405838","10 nM"
"70","SRP107198","SRX2831648","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405840","10 nM"
"71","SRP107198","SRX2831667","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"72","SRP107198","SRX2831513","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"73","SRP107198","SRX2831486","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405843","100 nM"
"74","SRP107198","SRX2831628","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"75","SRP107198","SRX2831590","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"76","SRP107198","SRX2831560","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"77","SRP107198","SRX2831564","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"78","SRP107198","SRX2831522","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405846","1000 nM"
"79","SRP107198","SRX2831497","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"80","SRP107198","SRX2831542","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"81","SRP107198","SRX2831558","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"82","SRP107198","SRX2831581","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405839","10 nM"
"83","SRP107198","SRX2831506","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"84","SRP107198","SRX2831514","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405838","10 nM"
"85","SRP107198","SRX2831586","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405844","1000 nM"
"86","SRP107198","SRX2831543","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"87","SRP107198","SRX2831663","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"88","SRP107198","SRX2831515","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405839","10 nM"
